id,title,parent_id,path,source_id,taxonomy_id,item_id
24190,Computational ecology and phylogenetics,24181,/24130/24181/24190,310203,100,22262446
24208,Bioinformatics and computational biology not elsewhere classified,24181,/24130/24181/24208,310299,100,22262446
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22262446
24208,Bioinformatics and computational biology not elsewhere classified,24181,/24130/24181/24208,310299,100,22586359
29164,Neural networks,29152,/28798/29152/29164,461104,100,22181803
26527,"Electronics, sensors and digital hardware not elsewhere classified",26485,/26212/26485/26527,400999,100,22181803
26494,Digital processor architectures,26485,/26212/26485/26494,400903,100,22182073
26458,Circuits and systems,26455,/26212/26455/26458,400801,100,22182073
30271,Accelerators,30268,/30082/30268/30271,511001,100,22182073
26371,Structural engineering,26341,/26212/26341/26371,400510,100,22560256
24232,Population ecology,24211,/24130/24211/24232,310307,100,17003950
24223,Freshwater ecology,24211,/24130/24211/24223,310304,100,17003950
